"","bullet1","bullet2","rf.diff","rf.diff.med","rf.max","rf.maxbar","type","type_truth"
"155","Br2 1","Ukn Q",0.01344,0.014,0.066,0.0268,"Ukn","KNM"
"156","Br2 1","Ukn S",0.0226666666666667,0.017,0.114,0.046,"Ukn","KNM"
"157","Br2 1","Ukn U",0.0924,0.048,0.462,0.123666666666667,"Ukn","KNM"
"158","Br2 1","Ukn X",0.0583333333333333,0.023,0.326,0.0793333333333333,"Ukn","KNM"
"159","Br2 1","Ukn Y",0.0104666666666667,0.013,0.054,0.0236666666666667,"Ukn","KNM"
"160","Br2 1","Ukn Z",0.023,0.02,0.202,0.0413333333333333,"Ukn","KNM"
"161","Br2 2","Br3 1",0.03552,0.03,0.132,0.0464,"KNM","KNM"
"162","Br2 2","Br3 2",0.0894666666666667,0.009,0.29,0.105666666666667,"KNM","KNM"
"163","Br2 2","Br4 1",0.0363333333333333,0.009,0.258,0.0543333333333333,"KNM","KNM"
"164","Br2 2","Br4 2",0.0843333333333333,0.027,0.404,0.113333333333333,"KNM","KNM"
